id,Statut,URL,Type,Série,Rubrique,Pilier,Titre de travail,Requête cible,Requêtes secondaires,Auteur,Interviewé,Mois,Date prévue,Date publiée,Priorité,Responsable,Image OG,Vidéo (ID),Conditions,Rafraîchit,Pièce liée,Fonctionnalités,Diffusion,Angle,Fichier du brief,Indexé (site)
P001,Publié,https://checkia.fr/blog/vie-de-l-entreprise/ia-missions-specifiques-cac/,video,Vie de l'entreprise,,P6 Entreprise,Et si l'IA transformait les missions spécifiques du CAC ? Découvrez CheckIA,aucune,,L'équipe CheckIA,,2026-09,2026-09-01,2026-09-01,haute,Chloe,generee,Q54ZRWJJQSo,,,,,,"Article fondateur : le constat, le parti pris (automatiser la préparation documentaire, jamais le jugement) et la démonstration de 4 minutes.",content-plan/briefs/P001-ia-missions-specifiques-cac.md,oui
P002,Rédaction,,texte,Nouveautés produit,,P5 Produit,Génération documentaire standardisée : comment CheckIA produit vos plans de mission,génération plan de mission,,L'équipe CheckIA,,2026-09,2026-09-03,,haute,Chloe,generee,,,,,generation-documentaire ; donnees-mission,,Visite guidée de la génération des documents à partir des données de la mission ; brouillon existant à finaliser et à aligner sur produit-verite.md.,content-plan/briefs/P002-generation-documentaire-standardisee.md,non
P003,Idée,,annuaire,,,Hors site,"Portes d'entrée des moteurs : Bing Webmaster, IndexNow, Brave, Search Console (rapport IA générative)",aucune,,L'équipe CheckIA,,2026-09,2026-09-08,,haute,Chloe,,,,,,,,"Vérifier que le site est indexé par Bing (ChatGPT, Copilot) et Brave (Claude), soumettre le sitemap, relever la ligne de base des impressions IA dans la Search Console, vérifier les passages des robots IA dans les journaux du serveur.",content-plan/briefs/P003-index-bing-brave-indexnow.md,—
P004,Idée,,annuaire,,,Hors site,"Référencements : Appvizer (catégorie Audit et commissariat aux comptes), Capterra FR, GetApp, Wikidata",aucune,,L'équipe CheckIA,,2026-09,2026-09-10,,haute,Chloe,,,,,,,,"Les annuaires sont une porte binaire pour les questions « quel logiciel pour… » posées aux assistants ; créer les fiches, une entrée Wikidata (fondateurs, siège, site, année) et aligner la description avec llms.txt et LinkedIn.",content-plan/briefs/P004-annuaires-appvizer-capterra-wikidata.md,—
P005,Idée,,texte,Le futur de l'audit,,P2 Missions spécifiques,"Commissariat aux apports : guide complet 2026 (procédure, documents, délais)",commissaire aux apports,,Cofondateur commissaire aux comptes (nom à confirmer),,2026-09,2026-09-15,,haute,JD,generee,,"Auteur CAC nommé (nom, titre, LinkedIn) — non",,,,,"Page pivot du pilier missions spécifiques : ce que fait le commissaire aux apports, qui le nomme, quels documents il produit, dans quels délais, et où le cabinet perd du temps. Écrit pour le praticien, en acceptant le trafic des créateurs d'entreprise.",content-plan/briefs/P005-commissariat-aux-apports-guide.md,—
P006,Idée,,texte,Le futur de l'audit,,P1 IA et CAC,"IA et commissariat aux comptes : ce que disent la CNCC, la H2A et les NEP (2026)",IA commissariat aux comptes,,Cofondateur commissaire aux comptes (nom à confirmer),,2026-09,2026-09-17,,haute,JD,generee,,"Auteur CAC nommé (nom, titre, LinkedIn) — non",,,,,"Guide de référence, daté, qui rassemble en une page la doctrine française sur l'IA en audit légal : rapport CNCC 2024, fiches 2025, NEP 315 révisée, position H2A 2026, AI Act. Une seule mention du produit.",content-plan/briefs/P006-ia-commissariat-aux-comptes-guide.md,—
P007,Idée,,texte,Pages du site,,P6 Entreprise,Sécurité et confidentialité des données CheckIA,où sont hébergées les données CheckIA,,L'équipe CheckIA,,2026-09,2026-09-22,,haute,Chloe,generee,,,,,hebergement-france ; aucune-ia-externe ; cloisonnement-cabinet,,"Page du site (hors blog) qui répond aux questions de confiance : hébergement en France (AWS Paris), cloisonnement, chiffrement, sauvegardes, secret professionnel (L. 821-35), aucune donnée transmise à une IA externe. Même checklist <head> que les articles.",content-plan/briefs/P007-securite.md,—
P008,Idée,,texte,Pages du site,,P6 Entreprise,Qui a créé CheckIA ? L'équipe,qui a créé CheckIA,,L'équipe CheckIA,,2026-09,2026-09-24,,haute,Chloe,generee,,"Noms, titres et profils LinkedIn des cofondateurs CAC fournis — non",,,,,"Page du site présentant les cofondateurs (commissaires aux comptes et docteur en IA) avec un nœud Person par personne, les faits d'entité (année de création, siège, site) et le lien vers l'article fondateur.",content-plan/briefs/P008-equipe.md,—
P009,Idée,,texte,Nouveautés produit,,P5 Produit,Pré-remplissage depuis l'INSEE et l'INPI : comment CheckIA structure une mission à partir du SIREN,aucune,,L'équipe CheckIA,,2026-09,2026-09-29,,normale,Chloe,generee,,,,,pre-remplissage-registres ; donnees-mission,,"Article produit : ce que le SIREN permet de récupérer automatiquement, ce qui reste saisi par le cabinet, et l'écran de revue.",content-plan/briefs/P009-pre-remplissage-insee-inpi.md,—
P010,Idée,,video,Le futur de l'audit,paroles-de-cac,P4 Paroles de CAC,Pourquoi la formalisation absorbe la mission : entretien avec un commissaire aux comptes cofondateur de CheckIA,aucune,,L'équipe CheckIA,Cofondateur commissaire aux comptes (nom à confirmer),2026-09,2026-09-29,,normale,Chloe,video,,Citations validées par l'interviewé — non,,,,,"Premier entretien de la rubrique « Paroles de commissaires aux comptes » : où passe le temps d'une mission spécifique, ce qu'un dossier doit prouver, ce qu'un CAC refuse de déléguer.",content-plan/briefs/P010-paroles-cac-01-formalisation.md,—
